objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
RClSOGm6D7,MOOSPMv3Parser,1689327001,1.52,1.52,2.06,2.52,2.52,2.36,2.53,2.68,2.68,2.61,439.3,120.75,74749.29,21.73,15.87,1.53,16.14,16.18,22.4,34.0,16.2,0.53,24.6,24.5,39.8,39.9,0.003,208.1,2.0,35.613205,-119.689537,59.346001,12,58,600,1,e00fce68e88237db75a60608,2023-07-14 09:30:04.534000+00:00,2023-07-14T09:30:04.711Z,2023-07-14T09:30:04.711Z
wIpeUlyFQS,MOOSPMv3Parser,1689327001,2.17,2.17,2.99,3.78,3.78,3.14,3.14,4.61,4.61,3.14,496.62,156.31,82861.65,30.71,23.38,2.68,23.47,23.48,0.2,0.2,23.48,0.44,22.1,21.6,56.3,56.9,11.136,206.0,1.0,36.433895,-119.922798,37.800999,10,58,600,1,e00fce6876826e255108c6bd,2023-07-14 09:30:05.123000+00:00,2023-07-14T09:30:05.381Z,2023-07-14T09:30:05.381Z
uuLC3pX96g,MOOSPMv3Parser,1689327600,0.79,0.79,1.58,1.48,1.48,1.68,1.7,1.95,1.95,1.71,315.55,94.23,146429.78,14.11,12.36,1.37,12.43,12.44,22.7,40.5,12.44,0.45,24.8,24.8,41.9,41.9,14.1,230.1,3.0,36.785419,-119.77314,75.378998,0,58,600,1,e00fce6856818e5885f65487,2023-07-14 09:40:01.944000+00:00,2023-07-14T09:40:02.200Z,2023-07-14T09:40:02.200Z
pNW5cVDoSo,MOOSPMv3Parser,1689327601,0.0,0.0,0.33,0.0,0.0,0.52,0.66,0.02,0.02,0.72,53.19,13.79,30.84,2.56,2.43,0.28,2.64,2.67,22.9,43.2,2.68,0.79,0.0,24.8,0.0,48.4,0.001,162.2,1.0,47.047688,-122.882027,42.550999,6,58,600,2,e00fce68afb0ec9f5087904a,2023-07-14 09:40:02.184000+00:00,2023-07-14T09:40:02.417Z,2023-07-14T09:40:02.417Z
RQDv2Iu9Tr,MOOSPMv3Parser,1689327600,1.79,1.79,2.13,3.03,3.03,2.36,2.47,3.52,3.52,2.52,486.05,139.2,6216.71,25.85,16.52,2.14,16.71,16.73,19.8,46.2,16.74,0.46,21.7,21.3,52.4,53.1,15.408,206.5,2.0,36.139038,-120.368286,195.082993,8,58,600,1,e00fce6808784ceaf209f949,2023-07-14 09:40:02.312000+00:00,2023-07-14T09:40:02.482Z,2023-07-14T09:40:02.482Z
CdnZMr1abD,MOOSPMv3Parser,1689327600,1.58,1.58,2.19,2.69,2.69,2.3,2.31,2.99,2.99,2.31,560.95,146.72,70664.85,21.28,17.14,1.67,17.2,17.21,20.5,43.0,17.21,0.44,22.6,22.2,44.9,45.0,14.367,229.3,1.0,36.63427,-120.382347,27.415001,6,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 09:40:02.247000+00:00,2023-07-14T09:40:02.490Z,2023-07-14T09:40:02.490Z
uiYSHIGfrb,MOOSPMv3Parser,1689327601,9.03,9.03,5.9,12.9,12.9,6.18,6.18,14.23,14.23,6.18,1916.32,497.54,30269.09,70.41,46.15,6.22,46.33,46.34,19.3,50.5,46.34,0.43,19.9,20.5,62.8,60.5,0.004,271.2,1.0,36.529247,-119.293404,81.787003,10,58,600,1,e00fce68e739ecbcf9e91965,2023-07-14 09:40:02.653000+00:00,2023-07-14T09:40:02.850Z,2023-07-14T09:40:02.850Z
3tqHOdFHXR,MOOSPMv3Parser,1689327601,1.28,1.28,2.11,2.24,2.24,2.21,2.21,2.53,2.53,2.21,459.83,120.0,7438.28,19.1,16.5,1.68,16.56,16.56,21.4,40.4,16.56,0.44,24.1,23.1,40.5,42.4,38.843,39.8,3.8,36.010597,-120.140305,215.815994,9,58,600,1,e00fce6850cac69f647dc199,2023-07-14 09:40:02.800000+00:00,2023-07-14T09:40:02.999Z,2023-07-14T09:40:02.999Z
KmoSqdgIjr,MOOSPMv3Parser,1689327601,-9.0,-9.0,1.97,-9.0,-9.0,2.17,2.25,-9.0,-9.0,2.29,-9.0,-9.0,201.7,-9.0,15.37,-9.0,15.51,15.52,-9.9,-9.9,15.53,0.58,21.4,20.8,53.2,55.5,16.97,189.3,3276.7,36.138927,-120.368362,178.850006,6,58,600,2,e00fce68e28dcbc9a589be10,2023-07-14 09:40:02.801000+00:00,2023-07-14T09:40:03.011Z,2023-07-14T09:40:03.011Z
z4zdc8k35t,MOOSPMv3Parser,1689327600,1.41,1.41,1.78,2.1,2.1,1.87,1.87,2.25,2.25,1.87,420.43,118.39,32701.13,16.35,13.95,0.65,14.0,14.0,20.6,40.4,14.0,0.43,22.4,22.5,43.6,40.6,21.403,48.7,8.0,36.13002,-120.333862,165.733002,11,58,599,1,e00fce68f12da1a0c5de6248,2023-07-14 09:40:03.058000+00:00,2023-07-14T09:40:03.253Z,2023-07-14T09:40:03.253Z
